temp,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all,Product,Unit_Price,Discount,Total_Price,Quantity
281.76,280.54,281.76,281.6,281.97,1010,92,1.29,305,100,0,229.18,0.0,22230.46,97
275.46,275.32,271.66,274.86,276.05,1008,99,4.07,230,51,5,214.16,0.0,19702.72,92
277.41,277.41,273.11,277.11,278.13,1004,100,5.99,273,99,2,171.22,0.05,2765.2,17
272.69,271.55,269.24,271.93,273.86,1004,91,2.84,100,98,2,297.3,0.1,8027.1,30
278.75,273.91,276.87,277.49,279.86,990,71,2.37,116,85,1,221.15,0.0,19903.5,90
280.62,280.62,277.61,279.71,281.86,987,100,4.92,271,100,1,147.45,0.0,14155.2,96
279.57,277.24,276.68,279.16,280.86,999,85,4.14,217,1,5,120.36,0.0,10712.04,89
282.2,281.6,281.11,280.36,282.89,1000,96,2.15,132,98,3,130.57,0.05,9799.28,79
281.95,279.91,280.9,281.38,282.89,1000,87,2.05,295,86,5,149.19,0.05,11480.17,81
281.83,280.6,280.84,280.82,283.86,995,92,1.96,100,99,1,132.14,0.05,4268.12,34
281.3,281.3,278.84,280.86,282.02,1003,100,4.07,237,91,2,137.31,0.05,11870.45,91
281.96,281.36,279.44,281.56,283.13,1009,96,4.54,246,74,4,157.02,0.1,13849.16,98
283.49,283.49,283.19,283.22,284.71,1009,100,3.59,237,94,5,134.67,0.1,2545.26,21
283.07,283.07,281.1,282.67,284.0,1013,100,3.89,227,0,2,279.35,0.05,6369.18,24
288.24,286.09,288.08,287.67,289.8,1015,87,3.96,237,100,4,116.05,0.1,7102.26,68
291.0,283.63,290.46,291.0,292.86,1013,62,3.17,179,100,4,204.9,0.0,7171.5,35
290.68,285.79,290.39,288.82,291.86,1012,73,2.1,142,99,1,182.08,0.0,6372.8,35
291.26,283.87,290.75,288.13,293.08,1006,62,2.92,133,93,5,296.48,0.0,16602.88,56
282.54,279.63,280.31,282.11,283.69,1021,82,4.2,248,100,6,122.41,0.05,4767.87,41
280.32,276.19,278.87,277.86,280.67,1032,75,2.2,196,13,0,179.57,0.0,3411.83,19
285.14,278.99,284.12,283.04,285.45,1033,66,1.48,221,94,1,293.89,0.1,6612.52,25
285.95,285.01,285.74,284.86,287.16,1029,94,2.9,243,100,1,273.1,0.05,20755.6,80
290.13,286.47,289.95,289.34,292.02,1019,79,4.33,242,95,6,263.41,0.1,6163.79,26
283.54,279.87,282.67,282.86,284.16,1016,78,1.37,325,100,0,151.58,0.0,4850.56,32
277.45,276.42,273.14,277.11,278.6,1004,93,6.03,238,18,2,134.18,0.0,4696.3,35
278.24,278.24,276.25,277.86,279.16,1007,100,2.39,301,100,3,233.73,0.0,21970.62,94
277.97,277.39,277.97,277.16,278.22,1013,96,1.21,348,98,5,285.88,0.05,25800.67,95
277.59,274.62,274.95,276.61,278.44,1016,81,3.04,245,100,3,211.35,0.1,3043.44,16
277.95,277.95,273.63,277.67,278.86,1008,100,6.41,311,100,2,214.32,0.05,4682.89,23
276.56,275.54,276.56,275.49,277.02,1019,93,1.2,114,98,1,156.0,0.05,13041.6,88
273.38,271.94,270.77,272.89,274.86,1025,89,2.16,21,45,0,253.9,0.0,4062.4,16
271.56,270.43,269.67,271.38,271.97,1023,91,1.45,60,4,1,137.41,0.05,2349.71,18
274.81,272.05,272.0,274.39,274.94,1012,81,2.6,219,67,4,164.74,0.05,8920.67,57
276.82,276.82,273.58,276.56,278.04,1006,100,3.67,254,83,1,185.09,0.0,14992.29,81
278.09,275.62,275.87,276.38,278.22,1006,84,2.63,185,99,1,201.52,0.05,13018.19,68
279.89,275.96,278.29,279.19,279.94,1009,76,2.28,195,0,2,148.48,0.0,14254.08,96
283.86,280.37,283.05,281.38,284.94,1009,79,2.69,121,90,2,122.97,0.0,11190.27,91
285.69,281.96,285.04,284.56,286.42,1019,78,2.63,241,76,2,222.12,0.0,10661.76,48
283.93,281.51,283.28,283.69,285.86,1020,85,2.2,88,8,3,157.73,0.0,4258.71,27
288.09,285.23,287.81,285.82,288.86,1011,83,2.15,90,35,4,216.25,0.05,13969.75,68
287.52,284.85,287.21,287.02,288.08,1003,84,3.26,96,56,2,130.87,0.0,3402.62,26
287.39,286.44,287.32,286.6,287.67,1003,94,2.44,180,37,0,196.23,0.0,4513.29,23
283.85,283.85,283.59,283.44,284.39,1017,100,1.14,255,100,3,206.52,0.05,7847.76,40
286.44,284.32,286.1,285.49,286.56,1010,87,3.67,150,97,6,110.36,0.05,3459.79,33
283.25,281.02,282.56,282.89,284.75,1010,86,0.67,1,100,0,167.32,0.1,10390.57,69
285.86,285.86,285.8,284.94,286.0,1012,100,2.54,55,100,5,126.88,0.05,6508.94,54
282.08,280.53,281.61,281.78,282.86,1023,90,1.47,24,100,5,112.67,0.05,1284.44,12
281.47,280.09,280.93,280.27,282.16,1028,91,1.46,271,65,0,297.99,0.1,12336.79,46
284.19,279.74,283.28,282.58,284.89,1024,74,0.45,41,90,2,164.47,0.05,8124.82,52
283.35,280.94,282.65,282.58,284.56,1023,85,0.86,341,54,6,261.97,0.05,12194.7,49
284.39,282.14,283.82,283.82,285.86,1022,86,2.43,75,14,6,150.93,0.05,14194.97,99
284.31,282.23,283.75,284.25,287.53,1017,87,2.63,111,8,3,236.3,0.05,14367.04,64
285.82,282.28,285.21,285.36,287.86,1012,79,2.69,115,0,6,252.05,0.1,21777.12,96
287.55,281.51,286.8,287.16,287.86,1009,67,3.89,101,0,5,219.13,0.05,9992.33,48
288.57,281.8,287.84,287.49,289.94,1007,64,4.19,98,91,4,194.32,0.05,4430.5,24
286.12,285.18,285.93,284.0,287.11,1006,94,3.75,76,67,2,182.37,0.1,2133.73,13
284.48,283.23,284.07,283.08,285.5,1009,92,1.55,73,49,6,169.77,0.0,16128.15,95
286.71,286.71,286.73,284.94,287.11,1010,100,0.64,335,93,3,285.91,0.1,8748.85,34
285.47,285.47,285.37,283.86,286.0,1010,100,1.6,272,68,5,266.12,0.0,5854.64,22
286.51,284.04,286.12,284.71,287.11,1011,85,2.12,69,74,4,293.01,0.1,23997.52,91
288.07,288.07,288.23,287.67,289.39,1005,100,1.31,153,100,1,124.86,0.1,4719.71,42
285.21,285.21,285.08,284.16,286.42,1013,100,1.95,246,14,1,246.17,0.05,5846.54,25
285.13,284.2,284.84,284.56,286.97,1017,94,1.27,22,100,4,287.67,0.0,14671.17,51
286.17,286.17,286.14,284.94,286.86,1017,100,0.9,127,63,5,136.25,0.05,9707.81,75
286.57,285.62,286.42,285.49,286.86,1018,94,1.22,213,57,3,113.3,0.0,7251.2,64
289.16,288.03,289.24,287.71,289.34,1017,93,2.14,210,99,4,248.22,0.1,11393.3,51
287.18,287.18,287.25,286.38,288.08,1016,100,1.59,254,90,2,214.89,0.1,8316.24,43
286.44,282.3,285.81,285.36,287.89,1017,76,2.74,183,100,2,268.37,0.0,10466.43,39
287.13,286.98,287.17,286.86,288.04,1008,99,2.07,205,89,1,127.95,0.05,2674.16,22
286.13,286.13,286.09,285.82,286.86,1007,100,2.37,288,66,6,259.05,0.05,5414.14,22
287.66,287.66,287.78,286.93,287.89,1011,100,2.42,314,68,3,140.33,0.05,3599.46,27
289.29,289.29,289.57,288.04,289.38,1015,100,3.17,322,54,1,132.73,0.05,5169.83,41
286.66,286.66,286.68,286.05,287.02,1019,100,3.25,317,77,6,132.85,0.1,5739.12,48
283.04,281.48,282.51,281.6,283.86,1018,90,1.66,279,72,6,262.91,0.1,13014.05,55
287.19,283.98,286.76,285.27,287.67,1010,81,2.74,207,29,2,233.04,0.1,7969.97,38
285.24,285.24,285.12,283.82,285.86,1017,100,2.47,262,9,5,204.61,0.1,13074.58,71
285.06,282.09,284.45,283.44,285.86,1017,82,1.88,334,10,0,171.77,0.1,10976.1,71
284.02,281.07,283.3,283.04,285.11,1016,82,1.04,164,11,5,275.44,0.05,17270.09,66
288.15,283.15,287.59,285.49,288.22,1011,72,1.96,313,14,0,178.49,0.05,4239.14,25
284.04,279.98,283.17,281.78,284.34,1009,76,1.79,331,4,4,263.32,0.05,16260.01,65
283.12,281.06,280.07,282.67,284.25,1008,87,6.93,245,100,2,187.83,0.05,3390.33,19
280.3,278.93,278.85,279.16,282.16,1018,91,2.19,272,25,6,175.39,0.1,6156.19,39
282.39,280.17,281.32,281.66,283.86,1019,86,2.17,280,83,3,192.54,0.1,5891.72,34
284.91,279.63,283.97,283.04,285.45,1015,70,1.93,150,100,0,160.28,0.1,13415.44,93
288.59,286.79,288.51,287.86,289.19,1007,89,3.88,166,98,5,249.52,0.0,3493.28,14
285.08,279.58,284.13,283.04,287.16,1010,69,2.32,194,2,6,200.54,0.05,14097.96,74
289.46,285.03,289.1,289.34,289.86,1011,75,2.12,217,79,0,146.44,0.05,8068.84,58
288.33,286.36,288.2,286.93,289.19,1016,88,2.01,246,11,0,279.91,0.1,3023.03,12
290.72,290.72,291.14,290.45,291.97,1013,100,1.78,310,100,0,176.78,0.05,9068.81,54
284.74,284.74,284.57,283.27,284.89,1023,100,0.32,321,94,3,208.71,0.05,4560.31,23
290.45,290.45,290.85,290.36,290.86,1017,100,1.53,128,83,2,281.29,0.1,9873.28,39
291.42,291.42,291.91,290.67,291.56,1011,100,3.87,259,99,3,224.85,0.0,17313.45,77
290.01,287.11,289.92,289.86,290.31,1016,83,1.93,291,100,1,123.38,0.0,3331.26,27
287.83,286.55,287.76,286.93,288.86,1021,92,0.5,23,32,6,287.97,0.0,20445.87,71
288.98,284.76,288.6,286.38,289.89,1019,76,2.53,66,0,2,225.54,0.1,9337.36,46
290.67,287.18,290.57,289.8,291.0,1014,80,2.28,70,0,2,166.98,0.05,5393.45,34
292.72,290.86,293.06,291.38,293.44,1010,89,2.38,99,83,2,127.85,0.1,6558.7,57
293.65,293.65,294.37,292.86,294.38,1011,100,1.99,205,58,5,258.81,0.1,17236.75,74
289.05,284.43,288.63,287.02,289.89,1018,74,1.38,55,6,2,224.01,0.05,13194.19,62
294.75,291.74,295.13,294.56,295.86,1005,83,2.25,200,100,3,206.69,0.0,18188.72,88
286.15,285.84,286.06,285.49,287.02,1016,98,2.55,261,34,2,278.78,0.0,22859.96,82
284.58,284.58,284.39,284.0,285.86,1013,100,2.5,290,57,4,257.72,0.1,5566.75,24
284.58,284.58,284.39,284.16,285.86,1010,100,3.4,232,87,6,130.33,0.0,7559.14,58
285.72,284.13,285.38,285.36,287.53,1012,90,2.11,236,78,2,162.34,0.1,14172.28,97
289.64,287.11,289.56,288.13,289.91,1009,85,2.43,199,27,6,149.7,0.1,10374.21,77
287.01,286.22,286.93,285.86,288.08,1011,95,2.3,244,99,4,248.79,0.05,4963.36,21
286.86,282.32,286.22,285.91,287.86,1017,74,2.23,165,24,4,106.71,0.05,6893.47,68
290.4,285.31,290.06,289.75,290.67,1019,72,1.96,75,70,6,213.98,0.05,9350.93,46
293.68,291.44,294.06,293.13,296.97,1014,87,2.05,150,63,0,252.49,0.1,15906.87,70
293.68,293.35,294.35,292.49,293.78,1017,98,2.17,217,82,1,275.35,0.05,13602.29,52
291.25,290.27,291.57,291.22,292.53,1016,94,2.08,104,58,5,168.42,0.0,13305.18,79
288.69,285.63,288.44,286.78,289.38,1012,82,4.39,276,100,0,264.25,0.0,12684.0,48
287.24,285.46,287.03,285.67,288.13,1014,89,1.35,230,10,0,122.13,0.1,7144.6,65
288.61,284.4,288.2,287.71,289.75,1014,76,1.24,238,21,3,269.29,0.1,17449.99,72
292.94,291.78,293.4,292.67,293.86,1011,93,2.33,218,100,5,125.5,0.05,6557.38,55
289.21,288.08,289.3,288.69,290.27,1017,93,3.24,220,6,5,179.46,0.1,15666.86,97
288.73,286.4,288.59,286.93,289.34,1024,86,0.48,16,11,0,259.46,0.1,4670.28,20
289.33,287.34,289.3,288.44,291.42,1023,88,2.45,69,0,2,129.98,0.0,9228.58,71
292.42,287.47,292.31,290.27,293.22,1016,73,2.35,86,21,3,145.85,0.0,12543.1,86
295.09,289.82,295.22,292.86,295.45,1008,72,1.67,159,24,3,244.45,0.05,7895.73,34
294.13,293.8,294.84,292.86,294.34,1012,98,2.44,259,42,4,244.01,0.1,17568.72,80
292.03,287.51,291.93,291.78,292.86,1019,75,1.2,146,89,5,228.23,0.1,12529.83,61
289.35,289.35,289.64,288.44,290.31,1017,100,3.17,294,68,0,238.79,0.0,3104.27,13
287.56,285.6,287.35,285.67,288.22,1019,88,1.62,269,2,4,208.54,0.1,12762.65,68
291.29,286.79,291.12,289.86,291.78,1013,75,2.01,157,76,6,150.36,0.0,12179.16,81
292.18,290.85,292.54,290.91,292.67,1013,92,0.88,188,100,1,169.14,0.05,4659.81,29
292.11,292.11,292.67,291.22,292.58,1015,100,3.17,264,100,3,136.32,0.0,9815.04,72
286.93,285.98,286.82,286.38,288.86,1026,94,1.24,318,81,6,281.69,0.1,15971.82,63
288.38,286.06,288.2,288.13,289.86,1022,86,2.32,118,0,6,216.68,0.05,17085.22,83
291.2,289.18,291.36,290.27,293.08,1016,88,1.39,124,18,2,180.17,0.0,11891.22,66
292.97,291.28,293.36,291.93,293.13,1014,90,1.51,15,76,1,192.4,0.0,19047.6,99
293.71,293.71,294.43,292.86,293.78,1010,100,0.86,279,99,6,289.46,0.05,13749.35,50
291.09,290.77,291.5,289.56,292.02,1012,98,0.71,174,65,6,130.67,0.05,1489.64,12
291.13,291.13,291.59,291.0,291.47,1013,100,2.01,247,100,1,217.25,0.0,3258.75,15
289.43,287.26,289.39,288.44,290.36,1016,87,1.02,287,100,1,201.18,0.1,2534.87,14
290.0,288.0,290.04,289.19,290.86,1015,88,1.77,137,6,6,222.29,0.0,3112.06,14
291.45,288.14,291.45,289.16,292.53,1012,81,2.37,124,64,1,103.62,0.05,6201.66,63
291.99,290.49,292.31,291.86,292.53,1015,91,1.38,298,55,6,274.42,0.0,15367.52,56
289.42,287.08,289.35,287.58,290.11,1017,86,2.18,184,50,6,286.42,0.05,26121.5,96
291.68,290.53,292.02,290.27,292.11,1019,93,1.38,261,53,2,213.03,0.05,11737.95,58
289.59,287.95,289.64,288.6,291.42,1022,90,1.84,259,14,0,239.33,0.1,3877.15,18
292.2,287.88,292.15,290.27,292.67,1019,76,2.05,78,0,6,284.5,0.05,7837.98,29
294.61,289.79,294.74,292.58,295.45,1013,74,2.38,108,59,4,241.45,0.05,16056.42,70
295.97,291.93,296.34,295.11,296.86,1011,78,1.59,278,100,3,130.51,0.1,5168.2,44
294.17,294.17,294.94,292.86,294.34,1014,100,1.79,266,10,5,215.26,0.05,12065.32,59
293.01,289.46,293.14,290.27,293.78,1017,80,2.11,191,73,0,221.34,0.1,18127.75,91
293.09,287.46,292.97,291.47,293.78,1014,70,1.41,275,83,0,184.83,0.1,11810.64,71
292.95,291.96,293.44,291.86,293.13,1011,94,1.08,85,94,0,247.29,0.05,6108.06,26
289.16,289.16,289.43,287.89,289.34,1016,100,2.53,336,99,2,286.87,0.05,26435.07,97
286.95,285.67,286.79,285.82,287.86,1018,92,1.92,143,0,6,285.11,0.0,3421.32,12
291.94,291.78,292.46,291.56,292.89,1010,99,4.6,241,23,2,190.17,0.1,7017.27,41
285.75,284.32,285.44,284.71,286.97,1018,91,1.53,240,96,6,122.65,0.0,2698.3,22
290.99,284.56,290.55,289.86,291.0,1011,66,2.3,215,94,2,296.97,0.05,27647.91,98
292.62,288.08,292.58,292.33,293.64,1014,75,1.92,202,26,2,267.78,0.0,21957.96,82
293.4,293.4,294.09,292.89,294.75,1011,100,4.17,244,88,3,124.93,0.1,8657.65,77
286.41,282.08,285.75,284.8,287.11,1023,75,0.69,241,31,4,284.17,0.0,6535.91,23
285.27,282.65,284.73,284.56,286.86,1024,84,1.38,334,1,2,273.98,0.1,4931.64,20
287.58,284.73,287.25,287.58,289.19,1020,83,1.97,88,0,3,203.77,0.05,12582.8,65
292.79,288.85,292.85,289.8,293.78,1017,78,2.51,217,0,1,218.26,0.05,15758.37,76
292.27,289.87,292.48,291.22,292.86,1018,86,1.67,311,15,4,179.8,0.1,6149.16,38
290.48,289.67,290.75,289.56,291.38,1023,95,2.69,62,93,2,110.95,0.05,1897.24,18
290.69,286.21,290.46,289.56,291.0,1023,75,4.16,84,32,5,167.04,0.05,12060.29,76
291.77,288.45,291.8,291.42,292.33,1016,81,2.64,82,1,0,260.57,0.05,8416.41,34
293.75,291.51,294.14,292.53,294.0,1014,87,1.63,194,96,1,100.93,0.05,8150.1,85
292.71,290.12,292.94,291.86,293.44,1015,85,1.27,11,16,1,166.7,0.1,7651.53,51
293.39,293.39,294.08,291.86,293.78,1013,100,2.91,14,96,3,179.63,0.0,3233.34,18
295.36,286.44,295.12,293.08,295.86,1011,57,5.71,84,53,1,207.48,0.0,18258.24,88
293.62,288.62,293.63,291.38,294.34,1013,73,2.13,122,37,4,283.97,0.05,13218.8,49
295.2,288.56,295.18,292.53,295.45,1010,66,1.8,125,60,2,169.27,0.0,5755.18,34
289.0,289.0,289.25,288.08,289.8,1005,100,2.74,286,100,2,169.39,0.0,2371.46,14
287.8,287.8,287.93,287.67,288.99,1008,100,4.3,281,84,5,247.5,0.05,4702.5,20
287.29,285.33,287.06,287.11,288.04,1007,88,5.41,215,100,0,190.44,0.05,12302.42,68
281.63,280.72,280.49,280.27,282.32,1011,94,2.09,242,3,3,144.92,0.0,14057.24,97
280.55,278.86,279.81,279.0,281.0,1017,89,1.52,309,100,0,190.49,0.1,15086.81,88
283.0,281.76,280.57,282.33,284.25,1024,92,4.96,336,100,1,128.17,0.05,5722.79,47
282.57,279.3,281.01,281.78,282.86,1028,80,2.93,318,16,5,135.28,0.1,9861.91,81
285.41,283.65,285.02,284.19,285.91,1023,89,2.69,326,96,0,199.67,0.0,2795.38,14
286.85,283.84,286.42,286.42,286.86,1025,82,3.37,14,88,4,183.79,0.05,9952.23,57
287.08,285.8,286.93,286.42,287.86,1028,92,2.92,52,3,2,282.97,0.1,25212.63,99
287.31,285.7,287.13,286.42,287.58,1027,90,3.29,60,6,1,172.48,0.05,4424.11,27
286.58,284.81,286.3,284.75,287.02,1024,89,3.73,84,0,5,216.12,0.0,17073.48,79
285.48,283.72,285.09,284.16,287.86,1023,89,2.14,83,4,0,226.45,0.1,9375.03,46
286.03,283.22,285.54,284.25,286.97,1020,83,2.24,102,2,3,102.62,0.0,7080.78,69
287.71,283.92,287.26,286.77,287.89,1012,78,1.2,130,98,4,232.71,0.0,13264.47,57
288.83,288.83,289.06,288.44,289.25,1008,100,1.49,226,100,4,135.61,0.05,11079.34,86
287.06,287.06,287.12,286.56,288.13,1005,100,4.81,234,99,0,292.21,0.1,9730.59,37
288.37,287.25,288.38,287.33,289.25,1001,93,4.99,189,100,2,129.73,0.0,10118.94,78
287.86,287.39,287.92,287.32,288.69,997,97,6.58,229,16,0,182.92,0.0,15731.12,86
285.29,283.53,284.88,284.89,286.47,1006,89,5.05,266,100,1,117.07,0.1,9482.67,90
279.86,279.42,278.03,278.86,281.42,1027,97,2.56,272,6,0,299.37,0.0,14669.13,49
280.72,278.36,277.89,279.16,281.78,1024,85,4.56,111,80,4,200.44,0.0,10823.76,54
285.84,285.53,285.72,284.86,286.0,1012,98,3.66,172,87,5,219.08,0.1,13999.21,71
283.89,283.59,283.58,283.6,284.56,1008,98,0.71,134,36,0,113.42,0.1,6839.23,67
282.38,282.38,280.8,280.86,282.67,1015,100,2.89,5,100,2,249.99,0.1,17099.32,76
283.21,283.21,282.88,282.33,283.69,1019,100,3.85,14,100,5,141.98,0.1,8305.83,65
